,Product Title, Category Label,title_len_chars,title_len_words,has_digit,has_upper_acronym,longest_word_len
0,apple iphone 8 plus 64gb silver,Mobile Phones,31,6,1,0,6
1,apple iphone 8 plus 64 gb spacegrau,Mobile Phones,35,7,1,0,9
2,apple mq8n2b/a iphone 8 plus 64gb 5.5 12mp sim free smartphone in gold,Mobile Phones,70,13,1,0,10
3,apple iphone 8 plus 64gb space grey,Mobile Phones,35,7,1,0,6
4,apple iphone 8 plus gold 5.5 64gb 4g unlocked sim free,Mobile Phones,54,11,1,0,8
5,apple iphone 8 plus gold 5.5 64gb 4g unlocked sim free,Mobile Phones,54,11,1,0,8
6,apple iphone 8 plus 64 gb space grey,Mobile Phones,36,8,1,0,6
7,apple iphone 8 plus 64gb space grey,Mobile Phones,35,7,1,0,6
8,apple iphone 8 plus 64gb space grey,Mobile Phones,35,7,1,0,6
9,apple iphone 8 plus 64gb space grey,Mobile Phones,35,7,1,0,6
10,apple iphone 8 plus 5.5 single sim 4g 64gb silver,Mobile Phones,49,10,1,0,6
11,sim free iphone 8 plus 64gb by apple space grey,Mobile Phones,47,10,1,0,6
12,apple iphone 8 plus 64gb gold smartphone,Mobile Phones,40,7,1,0,10
13,apple iphone 8 plus 5.5 single sim 4g 64gb grey,Mobile Phones,47,10,1,0,6
14,apple iphone 8 plus silver 5.5 64gb 4g unlocked sim free,Mobile Phones,56,11,1,0,8
15,apple iphone 8 plus 64 gb silver,Mobile Phones,32,7,1,0,6
16,apple iphone 8 plus 64gb silver unlocked,Mobile Phones,40,7,1,0,8
17,apple iphone 8 plus 14 cm 5.5 64 gb 12 mp ios 11 silver,Mobile Phones,55,14,1,0,6
18,iphone 8 plus sim free water dust resistant 64gb silver by apple,Mobile Phones,64,12,1,0,9
19,iphone 8 plus 64gb space grey,Mobile Phones,29,6,1,0,6
20,apple iphone 8 plus,Mobile Phones,19,4,1,0,6
21,sim free iphone 8 plus 64gb mobile phone space grey,Mobile Phones,51,10,1,0,6
22,apple mq8m2b/a 5.5 iphone 8 plus 64gb silver in stock uk spec stock,Mobile Phones,67,13,1,0,8
23,apple mnqq2b/a iphone 7 plus 32gb 5.5 12mp sim free smartphone in rose gold,Mobile Phones,75,14,1,0,10
24,apple iphone 7 plus 32 gb rose gold,Mobile Phones,35,8,1,0,6
25,apple iphone 7 plus 32gb rose gold,Mobile Phones,34,7,1,0,6
26,apple iphone 7 plus 32gb silver,Mobile Phones,31,6,1,0,6
27,apple iphone 7 plus silver 32gb 4g unlocked sim free,Mobile Phones,52,10,1,0,8
28,apple iphone 7 plus silver 32gb 4g unlocked sim free,Mobile Phones,52,10,1,0,8
29,apple iphone 7 plus jet black 32 gb,Mobile Phones,35,8,1,0,6
30,apple iphone 7 plus 32gb silver,Mobile Phones,31,6,1,0,6
31,apple iphone 7 plus 32gb black,Mobile Phones,30,6,1,0,6
32,apple iphone 7 plus 32gb black,Mobile Phones,30,6,1,0,6
33,apple iphone 7 plus 5.5 single sim 4g 3gb 32gb 2900mah silver,Mobile Phones,61,12,1,0,7
34,iphone 7 plus 32gb black,Mobile Phones,24,5,1,0,6
35,sim free iphone 7 plus 32gb by apple black,Mobile Phones,42,9,1,0,6
36,apple iphone 7 plus 5.5 single sim 4g 3gb 32gb 2900mah pink gold,Mobile Phones,64,13,1,0,7
37,apple iphone 7 plus 32gb schwarz smartphone,Mobile Phones,43,7,1,0,10
38,apple iphone 7 plus rose gold 5.5 32gb 4g unlocked sim free,Mobile Phones,59,12,1,0,8
39,sim free iphone 7 plus 32gb mobile phone silver,Mobile Phones,47,9,1,0,6
40,apple iphone 7 plus 5.5 inch multi touch 32gb wlan wwan bluetooth c,Mobile Phones,67,13,1,0,9
41,apple iphone 7 plus 32gb rosegold 3 brand new,Mobile Phones,45,9,1,0,8
42,iphone 7 plus 32gb silver,Mobile Phones,25,5,1,0,6
43,apple iphone 7 plus,Mobile Phones,19,4,1,0,6
44,iphone 7 plus 32gb rose gold mnqq2b/a wc01,Mobile Phones,42,8,1,0,8
45,apple grade b iphone 7 32gb gold handset only,Mobile Phones,45,9,1,0,7
46,grade b apple iphone 7 32gb silver handset only,Mobile Phones,47,9,1,0,7
47,apple mn8x2b/a iphone 7 32gb 4.7 12mp sim free smartphone in black,Mobile Phones,66,12,1,0,10
